feature,auc_apnea_ecg,auc_apnea_hrv,signed_ecg,signed_hrv,abs_ecg,abs_hrv
r_hf,0.20699909444700018,0.273303632001041,0.20699909444700018,0.273303632001041,0.7930009055529998,0.726696367998959
lf_hf_ctx1,0.7343979667989523,0.6840142474082858,0.7343979667989523,0.6840142474082858,0.7343979667989523,0.6840142474082858
lf_hf,0.7323241362539685,0.6840140096194111,0.7323241362539685,0.6840140096194111,0.7323241362539685,0.6840140096194111
lf_hf_ctx2,0.7355266775680054,0.682437481894411,0.7355266775680054,0.682437481894411,0.7355266775680054,0.682437481894411
lf_hf_ctx5,0.7337872136947702,0.6778843380645435,0.7337872136947702,0.6778843380645435,0.7337872136947702,0.6778843380645435
rr_cv_ctx1,0.7190630475397177,0.6548710869540976,0.7190630475397177,0.6548710869540976,0.7190630475397177,0.6548710869540976
rr_cv,0.7089255073879317,0.6546318525732004,0.7089255073879317,0.6546318525732004,0.7089255073879317,0.6546318525732004
rr_cv_ctx2,0.7172345464820694,0.6543684638487007,0.7172345464820694,0.6543684638487007,0.7172345464820694,0.6543684638487007
rr_cv_ctx5,0.7081282908959797,0.650495859263428,0.7081282908959797,0.650495859263428,0.7081282908959797,0.650495859263428
p_lf,0.6569938997667157,0.6482303883343881,0.6569938997667157,0.6482303883343881,0.6569938997667157,0.6482303883343881
rr_iqr,0.7048446660382287,0.6421243392269558,0.7048446660382287,0.6421243392269558,0.7048446660382287,0.6421243392269558
rr_std,0.7011552203886472,0.6308196683888964,0.7011552203886472,0.6308196683888964,0.7011552203886472,0.6308196683888964
rr_std_ctx1,0.7092103269336687,0.6301693846498245,0.7092103269336687,0.6301693846498245,0.7092103269336687,0.6301693846498245
rr_std_ctx2,0.7067548247128606,0.6288646496087691,0.7067548247128606,0.6288646496087691,0.7067548247128606,0.6288646496087691
rr_std_ctx5,0.6964067297145144,0.6226021166488844,0.6964067297145144,0.6226021166488844,0.6964067297145144,0.6226021166488844
rr_range,0.6618556826312622,0.6073849521417976,0.6618556826312622,0.6073849521417976,0.6618556826312622,0.6073849521417976
rr_min,0.4395416075139979,0.4143103197130244,0.4395416075139979,0.4143103197130244,0.560458392486002,0.5856896802869755
rr_kurt,0.3783318606684914,0.42370137832318866,0.3783318606684914,0.42370137832318866,0.6216681393315087,0.5762986216768113
hr_mean_ctx5,0.45276618895927523,0.5603144347371098,0.45276618895927523,0.5603144347371098,0.5472338110407248,0.5603144347371098
hr_mean_ctx2,0.45064658080532544,0.5575964953824593,0.45064658080532544,0.5575964953824593,0.5493534191946745,0.5575964953824593
hr_mean_ctx1,0.450358342202853,0.55690132586446,0.450358342202853,0.55690132586446,0.549641657797147,0.55690132586446
hr_mean,0.45087271859987055,0.5566163609283693,0.45087271859987055,0.5566163609283693,0.5491272814001295,0.5566163609283693
rr_mean,0.5491272814001296,0.4433836390716307,0.5491272814001296,0.4433836390716307,0.5491272814001296,0.5566163609283693
n_beats,0.4432380974576763,0.555622131225843,0.4432380974576763,0.555622131225843,0.5567619025423237,0.555622131225843
r_lf,0.30099145804014016,0.44803192973944483,0.30099145804014016,0.44803192973944483,0.6990085419598598,0.5519680702605552
peak_hz,0.39527226249422687,0.5285628867659515,0.39527226249422687,0.5285628867659515,0.6047277375057731,0.5285628867659515
p_hf,0.49745798660543744,0.47401104639457436,0.49745798660543744,0.47401104639457436,0.5025420133945626,0.5259889536054256
pnn50,0.5394053311224432,0.5243409014899139,0.5394053311224432,0.5243409014899139,0.5394053311224432,0.5243409014899139
rmssd,0.5618209406126135,0.5211708441353623,0.5618209406126135,0.5211708441353623,0.5618209406126135,0.5211708441353623
rmssd_ctx1,0.5612634959608526,0.5206071968955587,0.5612634959608526,0.5206071968955587,0.5612634959608526,0.5206071968955587
rr_skew,0.4495490692682484,0.520209282243918,0.4495490692682484,0.520209282243918,0.5504509307317516,0.520209282243918
rmssd_ctx2,0.5590861375019588,0.5196001922986115,0.5590861375019588,0.5196001922986115,0.5590861375019588,0.5196001922986115
rr_max,0.6211240218514692,0.515531580846847,0.6211240218514692,0.515531580846847,0.6211240218514692,0.515531580846847
rmssd_ctx5,0.5527497118085581,0.5150381814467533,0.5527497118085581,0.5150381814467533,0.5527497118085581,0.5150381814467533
