feature,rf_impurity,univariate_auc
flow_rel_amp_ctx2,0.11329123638433924,0.7307061768438866
flow_rel_amp_ctx1,0.08494425674636617,0.7120117049781414
hr_mean_ctx2,0.061327761919391835,0.5976590043717389
hr_std_ctx2,0.06104529518904044,0.5756592864194049
hr_mean_ctx1,0.05567262642512301,0.590951558313355
hr_std_ctx1,0.05546015871853604,0.5680263714567761
flow_rel_amp,0.05420335995206665,0.659568467070935
hr_mean,0.042962043928909906,0.6161595684670709
flow_mean,0.03603663539464661,0.5295533070088846
spo2_desat_ctx2,0.03554758167223422,0.5694189818079256
flow_max,0.032656003925304794,0.5653469186292484
hr_std,0.02948506454733249,0.5269002961500494
spo2_desat_ctx1,0.02855445182283558,0.5639014243407136
spo2_mean,0.028221243583641805,0.5004406994782118
flow_std,0.02775171472197856,0.5286630940628966
spo2_std,0.02672907405456928,0.5053941616133126
flow_range,0.026126397935042234,0.5529985192497533
hr_min,0.025425432671028,0.6298036243125089
hr_max,0.023950270365317626,0.587443590466789
spo2_min_ctx2,0.02162988028779068,0.5353000282047666
spo2_desat,0.0208341734116022,0.5299234945705824
spo2_min_ctx1,0.0207869349387414,0.5318361303060217
flow_min,0.020593683081341654,0.5383232266252996
spo2_max,0.01628016087486044,0.5236655619799747
hr_range,0.016070947102291257,0.5185887039909745
spo2_range,0.0160106249584009,0.507306797348752
spo2_min,0.015289166867812804,0.5058348610915244
spo2_below90,0.0031138185194541823,0.5712170356790297
