Sampled_Row,Randomized_Position,Record_ID,Window,HR_Mean,SpO2_Mean,Flow_Mean,Stage,Sleep_Label,Split
0,0,380,380,-0.443951309099392,0.050475897544179214,1.414715588518667,N1,1,train
1,5,486,486,-0.656504422656178,-1.1349961771168946,0.34513301397449103,N2,1,test
2,10,590,590,-1.4653871048028393,1.0892916330719222,-0.37112433152907526,N1,1,train
3,15,39,39,1.498547978683465,0.7348721468330466,0.27103457071567305,N1,1,train
4,20,908,908,0.18189952526225756,1.0465168674913679,-1.59848110215787,W,0,train
5,25,67,67,1.7583351174750936,0.533219680524718,1.7192787652055774,N3,1,train
6,30,321,321,0.3117930946580718,0.6371012540774944,-0.1671140319388746,N2,1,train
7,35,501,501,-0.8336320172868337,-0.49337469340858164,-0.2504525972135214,N1,1,train
8,40,440,440,-0.19597267661647438,0.8815284859663747,0.5585372404284153,R,1,train
9,45,911,912,0.9317396758653665,-0.18172997275025768,-0.3915153050172714,W,0,train
10,50,363,363,-0.5738448784952063,0.863196443574707,0.6723528278705082,N1,1,test
11,55,192,192,0.22322929734274402,0.39878470298583324,0.6899575673833807,N3,1,train
12,60,139,139,1.5162607381465296,-0.29172222710025575,-0.8884410218518938,N2,1,train
13,65,44,44,1.2446650930461913,0.9548566555330374,0.5192933419309703,N2,1,train
14,70,824,824,0.5184419550605043,-1.6849574488668773,-0.17750769031391397,N1,1,train
15,75,906,906,-1.2055999660112107,1.125955717855255,-1.2808326822577623,N1,1,test
16,80,259,259,-0.17825991715340855,0.34378857581083555,-0.7506023002828601,N1,1,test
17,85,86,86,0.973069447945853,0.777646912413601,0.4421779574249866,N1,1,train
18,90,891,891,-1.187887206548145,1.3337188649608052,1.3491947233155162,N1,1,train
19,95,265,265,0.45349517036259585,-0.5972562669613555,0.36787838474969103,N1,1,test
20,100,137,137,0.4062611451277545,-1.0922214115363402,-0.6539359533810285,N2,1,train
21,105,497,497,-0.6328874100387574,-0.21228337673636868,1.1353349978889804,N1,1,train
22,110,351,351,0.1759952721079027,-1.0066718803752315,-0.626949118146578,N2,1,test
23,115,682,682,-1.2882595101721837,-0.5422601397863577,0.3959655162036961,N2,1,test
24,120,898,898,-1.264642497554763,0.9487459747358158,-1.9285936303085223,N1,1,train
25,125,370,370,0.08743147479257488,-0.27950086550580977,0.2589253967295003,N1,1,train
26,130,714,714,-1.2233127254742766,1.1015129946663682,-0.05672356014797558,N1,1,train
27,135,512,512,0.305888841503717,0.03825453594973325,-0.036782170061317905,N2,1,train
28,140,892,892,-1.4594828516484843,1.0648489098830356,0.39161757146513376,N1,1,train
29,145,49,49,1.2682821056636133,0.6187692116858268,1.790159137800752,N2,1,train
30,150,907,907,-1.5244296363463916,0.8204216779941553,0.02340285003410077,N1,1,train
31,155,731,731,-1.3709190543331566,1.3642722689469136,-0.31606219598276536,N1,1,train
32,160,77,77,0.48892068928872745,1.187062525827477,0.4645743095068872,N2,1,train
33,165,723,723,-0.37310027124713,-0.7561339676891295,0.2042477733029274,N2,1,train
34,170,390,390,-0.7155469541997302,0.9304139323441508,1.236272387105427,N2,1,train
35,175,332,332,1.728813851703317,1.3581615881496918,-1.7953513074631111,W,0,train
36,180,582,582,-1.335493535407025,1.0892916330719222,0.4720456757719268,N2,1,train
37,185,84,84,1.79966488955558,0.23379632146084006,1.2611710257511533,N1,1,train
38,190,863,863,-1.18198295339379,0.2521283638525051,-0.9044071481775803,N1,1,train
39,195,29,29,1.5516862570726613,0.533219680524718,-1.038773429526837,N2,1,train
40,200,309,309,-0.1664514108446976,0.4598915109580553,-0.6972615959187566,N2,1,test
41,205,388,388,-0.6151746505756928,0.7409828276302682,1.3218470382456204,N2,1,train
42,210,552,552,-0.9399085740652272,0.7165401044413789,-0.3527328210635104,N2,1,train
43,215,367,367,0.08743147479257488,-1.00056119957801,1.1094484588740847,N1,1,train
44,220,59,59,0.7546120812347109,-0.5422601397863577,0.13409501594971635,N2,1,train
45,225,544,544,-1.9023018382251236,0.5821051269024942,0.06162335473593876,N1,1,train
46,230,361,361,0.41216539828210935,0.06269725913862258,1.1564654177612856,N2,1,train
47,235,709,709,-0.6269831568844024,0.7409828276302682,-0.41049837259012356,N1,1,train
48,240,482,482,0.9022184100935897,-0.3161649502891425,-1.4648956761902323,N2,1,train
49,245,652,652,-1.1701744470850803,-0.3161649502891425,-0.6081612644191305,N2,1,train
50,250,823,823,-0.33177049916664353,0.32545653341917047,-0.6574438870272428,R,1,train
51,255,532,532,-1.5067168768833257,0.8815284859663747,-0.3697755813244599,N2,1,test
52,260,290,290,-0.10150462614679046,0.4537808301608336,-0.7007991074203351,N2,1,train
53,265,368,368,0.6188142586845418,-0.5789242245696904,-0.905028283140232,N1,1,test
54,270,133,133,1.19743106781135,-0.12062316477803828,2.132593800496201,N2,1,train
55,275,857,857,-1.1642701939307243,1.3520509073524702,-1.810329533419628,N1,1,test
56,280,305,305,0.21732504418838916,-0.9577864339974554,1.3691538601153925,N1,1,train
57,285,820,820,-1.790121028292375,0.6065478500913835,-0.6831056343413694,N1,1,test
58,290,813,813,-0.07788761352936978,-1.6971788104613206,-0.2331850452518027,R,1,train
59,295,493,493,0.05200595586644451,-0.5789242245696904,-1.4720298549041182,N2,1,train
60,300,193,193,0.447590917208241,0.12380406711084199,0.49932828956002107,N3,1,test
61,305,140,140,0.5656759802953456,-1.2510991122641144,2.3146573314060395,N2,1,test
62,310,73,73,1.50445223183782,0.5637730845108291,1.9939564768323292,N3,1,test
63,315,234,234,2.9096644825743554,1.1992838874219203,-1.3135102968643175,W,0,test
64,320,870,870,-0.9103873082934517,0.35600993740527886,-2.4990913045764764,N1,1,train
65,325,108,108,1.256473599354901,1.1137343562608115,0.7601990583026852,N1,1,train
66,330,514,514,-0.3967172838645507,-0.9638971147946771,-1.22090794728955,N2,1,train
67,335,51,51,0.9199311695566569,0.6859867004552705,-0.670091377981047,N2,1,test
68,340,841,841,0.08743147479257488,-0.32838631188358847,-0.3275324882930678,N1,1,train
69,345,741,741,-1.2469297380916973,0.6737653388608246,-0.5180848636924803,R,1,train
70,350,272,272,-0.4262385496363262,0.20935359827195074,-1.1948084477160308,N2,1,train
