Sampled_Row,Randomized_Position,Record_ID,Window,Stage,Sleep_Label
0,0,380,380,N1,1
1,5,486,486,N2,1
2,10,590,590,N1,1
3,15,39,39,N1,1
4,20,908,908,W,0
5,25,67,67,N3,1
6,30,321,321,N2,1
7,35,501,501,N1,1
8,40,440,440,R,1
9,45,911,912,W,0
10,50,363,363,N1,1
11,55,192,192,N3,1
12,60,139,139,N2,1
13,65,44,44,N2,1
14,70,824,824,N1,1
15,75,906,906,N1,1
16,80,259,259,N1,1
17,85,86,86,N1,1
18,90,891,891,N1,1
19,95,265,265,N1,1
20,100,137,137,N2,1
21,105,497,497,N1,1
22,110,351,351,N2,1
23,115,682,682,N2,1
24,120,898,898,N1,1
25,125,370,370,N1,1
26,130,714,714,N1,1
27,135,512,512,N2,1
28,140,892,892,N1,1
29,145,49,49,N2,1
30,150,907,907,N1,1
31,155,731,731,N1,1
32,160,77,77,N2,1
33,165,723,723,N2,1
34,170,390,390,N2,1
35,175,332,332,W,0
36,180,582,582,N2,1
37,185,84,84,N1,1
38,190,863,863,N1,1
39,195,29,29,N2,1
40,200,309,309,N2,1
41,205,388,388,N2,1
42,210,552,552,N2,1
43,215,367,367,N1,1
44,220,59,59,N2,1
45,225,544,544,N1,1
46,230,361,361,N2,1
47,235,709,709,N1,1
48,240,482,482,N2,1
49,245,652,652,N2,1
50,250,823,823,R,1
51,255,532,532,N2,1
52,260,290,290,N2,1
53,265,368,368,N1,1
54,270,133,133,N2,1
55,275,857,857,N1,1
56,280,305,305,N1,1
57,285,820,820,N1,1
58,290,813,813,R,1
59,295,493,493,N2,1
60,300,193,193,N3,1
61,305,140,140,N2,1
62,310,73,73,N3,1
63,315,234,234,W,0
64,320,870,870,N1,1
65,325,108,108,N1,1
66,330,514,514,N2,1
67,335,51,51,N2,1
68,340,841,841,N1,1
69,345,741,741,R,1
70,350,272,272,N2,1
71,355,182,182,N2,1
72,360,644,644,N1,1
73,365,176,176,N2,1
74,370,248,248,W,0
75,375,795,795,N2,1
76,380,92,92,N2,1
77,385,837,837,N1,1
78,390,94,94,N1,1
79,395,329,329,N1,1
80,400,100,100,N2,1
81,405,177,177,N3,1
82,410,383,383,N2,1
83,415,15,15,N1,1
84,420,494,494,N2,1
85,425,697,697,W,0
86,430,249,249,N1,1
87,435,783,783,N2,1
88,440,759,759,N1,1
89,445,534,534,N2,1
90,450,745,745,W,0
91,455,450,450,R,1
92,460,446,446,R,1
93,465,677,677,N1,1
94,470,125,125,N2,1
95,475,903,903,N1,1
96,480,126,126,N2,1
97,485,228,228,N2,1
98,490,274,274,N2,1
99,495,568,568,N3,1
100,500,634,634,N1,1
101,505,46,46,N2,1
102,510,261,261,W,0
103,515,263,263,N1,1
104,520,880,880,N2,1
105,525,353,353,N2,1
106,530,572,572,N2,1
107,535,737,737,R,1
108,540,245,245,N1,1
109,545,154,154,N2,1
110,550,322,322,N1,1
111,555,115,115,N1,1
112,560,651,651,N1,1
113,565,897,897,W,0
114,570,171,171,N3,1
115,575,765,765,N1,1
116,580,599,599,N2,1
117,585,865,865,N2,1
118,590,374,374,N1,1
119,595,194,194,N3,1
120,600,757,757,R,1
121,605,152,152,N2,1
122,610,226,226,N2,1
123,615,586,586,N2,1
124,620,910,910,W,0
125,625,736,736,R,1
126,630,680,680,N2,1
127,635,262,262,N1,1
128,640,809,809,N1,1
129,645,488,488,N2,1
130,650,785,785,N2,1
131,655,123,123,N2,1
132,660,197,197,N3,1
133,665,122,122,N1,1
134,670,415,415,R,1
135,675,715,715,N2,1
136,680,832,832,N2,1
137,685,693,693,N2,1
138,690,877,877,N1,1
139,695,232,232,N2,1
140,700,894,894,N1,1
141,705,317,317,W,0
142,710,258,258,N1,1
143,715,384,384,W,0
144,720,347,347,N1,1
145,725,822,822,N1,1
146,730,556,556,N3,1
147,735,698,698,N1,1
148,740,170,170,N2,1
149,745,733,733,R,1
150,750,574,574,N2,1
151,755,206,206,N3,1
152,760,4,4,W,0
153,765,546,546,N2,1
154,770,573,573,N2,1
155,775,200,200,N3,1
156,780,489,489,N1,1
157,785,674,674,N2,1
158,790,62,62,N2,1
159,795,520,520,N2,1
160,800,492,492,N1,1
161,805,791,791,N2,1
162,810,724,724,N2,1
163,815,461,461,N1,1
164,820,201,201,N3,1
165,825,702,702,N2,1
166,830,565,565,N3,1
167,835,80,80,W,0
168,840,427,427,N1,1
169,845,564,564,N3,1
170,850,315,315,N2,1
171,855,840,840,N1,1
172,860,893,893,W,0
173,865,562,562,N2,1
174,870,475,475,N1,1
175,875,560,560,N3,1
176,880,313,313,N1,1
177,885,385,385,N1,1
178,890,769,769,R,1
179,895,871,871,N1,1
180,900,330,330,N2,1
181,905,20,20,N2,1
182,910,860,860,N1,1
