Sample,Sleep_Label,Original_Label
0,0,N
6000,0,N
12000,0,N
18000,0,N
24000,0,N
30000,0,N
36000,0,N
42000,0,N
48000,0,N
54000,0,N
60000,0,N
66000,0,N
72000,0,N
78000,1,A
84000,1,A
90000,1,A
96000,1,A
102000,1,A
108000,1,A
114000,1,A
120000,1,A
126000,1,A
132000,1,A
138000,1,A
144000,1,A
150000,1,A
156000,1,A
162000,1,A
168000,1,A
174000,1,A
180000,1,A
186000,1,A
192000,1,A
198000,1,A
204000,1,A
210000,1,A
216000,1,A
222000,1,A
228000,1,A
234000,1,A
240000,1,A
246000,1,A
252000,1,A
258000,1,A
264000,1,A
270000,1,A
276000,1,A
282000,1,A
288000,1,A
294000,1,A
300000,1,A
306000,1,A
312000,1,A
318000,1,A
324000,1,A
330000,1,A
336000,1,A
342000,1,A
348000,1,A
354000,1,A
360000,1,A
366000,1,A
372000,1,A
378000,1,A
384000,1,A
390000,1,A
396000,1,A
402000,1,A
408000,1,A
414000,1,A
420000,1,A
426000,1,A
432000,1,A
438000,1,A
444000,1,A
450000,1,A
456000,1,A
462000,1,A
468000,1,A
474000,1,A
480000,1,A
486000,1,A
492000,1,A
498000,1,A
504000,1,A
510000,1,A
516000,1,A
522000,1,A
528000,1,A
534000,1,A
540000,1,A
546000,1,A
552000,1,A
558000,1,A
564000,1,A
570000,1,A
576000,1,A
582000,1,A
588000,1,A
594000,1,A
600000,1,A
606000,1,A
612000,1,A
618000,1,A
624000,1,A
630000,1,A
636000,1,A
642000,1,A
648000,1,A
654000,1,A
660000,1,A
666000,1,A
672000,1,A
678000,1,A
684000,1,A
690000,1,A
696000,1,A
702000,1,A
708000,1,A
714000,1,A
720000,1,A
726000,1,A
732000,1,A
738000,1,A
744000,1,A
750000,1,A
756000,1,A
762000,1,A
768000,1,A
774000,1,A
780000,1,A
786000,1,A
792000,1,A
798000,1,A
804000,1,A
810000,1,A
816000,1,A
822000,1,A
828000,1,A
834000,1,A
840000,1,A
846000,1,A
852000,1,A
858000,1,A
864000,1,A
870000,1,A
876000,1,A
882000,1,A
888000,1,A
894000,1,A
900000,1,A
906000,1,A
912000,1,A
918000,1,A
924000,1,A
930000,1,A
936000,1,A
942000,1,A
948000,1,A
954000,1,A
960000,1,A
966000,1,A
972000,1,A
978000,1,A
984000,1,A
990000,1,A
996000,1,A
1002000,1,A
1008000,1,A
1014000,1,A
1020000,1,A
1026000,1,A
1032000,1,A
1038000,1,A
1044000,1,A
1050000,1,A
1056000,1,A
1062000,1,A
1068000,1,A
1074000,1,A
1080000,1,A
1086000,1,A
1092000,1,A
1098000,1,A
1104000,1,A
1110000,1,A
1116000,1,A
1122000,1,A
1128000,1,A
1134000,1,A
1140000,1,A
1146000,1,A
1152000,1,A
1158000,1,A
1164000,1,A
1170000,1,A
1176000,1,A
1182000,1,A
1188000,1,A
1194000,1,A
1200000,1,A
1206000,1,A
1212000,1,A
1218000,1,A
1224000,1,A
1230000,1,A
1236000,1,A
1242000,1,A
1248000,1,A
1254000,1,A
1260000,1,A
1266000,1,A
1272000,1,A
1278000,1,A
1284000,1,A
1290000,1,A
1296000,1,A
1302000,1,A
1308000,1,A
1314000,1,A
1320000,1,A
1326000,1,A
1332000,1,A
1338000,1,A
1344000,1,A
1350000,1,A
1356000,1,A
1362000,0,N
1368000,0,N
1374000,0,N
1380000,0,N
1386000,1,A
1392000,1,A
1398000,1,A
1404000,1,A
1410000,1,A
1416000,1,A
1422000,1,A
1428000,1,A
1434000,1,A
1440000,1,A
1446000,1,A
1452000,1,A
1458000,1,A
1464000,1,A
1470000,1,A
1476000,1,A
1482000,1,A
1488000,1,A
1494000,1,A
1500000,1,A
1506000,1,A
1512000,1,A
1518000,1,A
1524000,1,A
1530000,1,A
1536000,1,A
1542000,1,A
1548000,1,A
1554000,1,A
1560000,1,A
1566000,1,A
1572000,1,A
1578000,1,A
1584000,1,A
1590000,1,A
1596000,1,A
1602000,1,A
1608000,1,A
1614000,1,A
1620000,1,A
1626000,1,A
1632000,1,A
1638000,1,A
1644000,1,A
1650000,1,A
1656000,1,A
1662000,1,A
1668000,1,A
1674000,1,A
1680000,1,A
1686000,1,A
1692000,1,A
1698000,1,A
1704000,1,A
1710000,1,A
1716000,1,A
1722000,1,A
1728000,1,A
1734000,1,A
1740000,1,A
1746000,1,A
1752000,1,A
1758000,1,A
1764000,1,A
1770000,1,A
1776000,1,A
1782000,1,A
1788000,1,A
1794000,1,A
1800000,1,A
1806000,1,A
1812000,1,A
1818000,1,A
1824000,1,A
1830000,1,A
1836000,1,A
1842000,1,A
1848000,1,A
1854000,1,A
1860000,1,A
1866000,1,A
1872000,1,A
1878000,1,A
1884000,1,A
1890000,1,A
1896000,1,A
1902000,1,A
1908000,1,A
1914000,1,A
1920000,1,A
1926000,1,A
1932000,1,A
1938000,1,A
1944000,1,A
1950000,1,A
1956000,1,A
1962000,1,A
1968000,1,A
1974000,1,A
1980000,1,A
1986000,1,A
1992000,1,A
1998000,1,A
2004000,1,A
2010000,1,A
2016000,1,A
2022000,1,A
2028000,1,A
2034000,1,A
2040000,1,A
2046000,1,A
2052000,1,A
2058000,1,A
2064000,1,A
2070000,1,A
2076000,1,A
2082000,1,A
2088000,1,A
2094000,1,A
2100000,1,A
2106000,1,A
2112000,0,N
2118000,0,N
2124000,1,A
2130000,1,A
2136000,1,A
2142000,1,A
2148000,1,A
2154000,1,A
2160000,1,A
2166000,1,A
2172000,1,A
2178000,1,A
2184000,1,A
2190000,1,A
2196000,1,A
2202000,1,A
2208000,1,A
2214000,1,A
2220000,1,A
2226000,1,A
2232000,1,A
2238000,1,A
2244000,1,A
2250000,1,A
2256000,1,A
2262000,1,A
2268000,1,A
2274000,1,A
2280000,1,A
2286000,1,A
2292000,1,A
2298000,1,A
2304000,1,A
2310000,1,A
2316000,1,A
2322000,1,A
2328000,1,A
2334000,1,A
2340000,1,A
2346000,1,A
2352000,1,A
2358000,1,A
2364000,1,A
2370000,1,A
2376000,1,A
2382000,1,A
2388000,1,A
2394000,1,A
2400000,1,A
2406000,1,A
2412000,1,A
2418000,1,A
2424000,1,A
2430000,1,A
2436000,1,A
2442000,1,A
2448000,1,A
2454000,1,A
2460000,1,A
2466000,1,A
2472000,1,A
2478000,1,A
2484000,1,A
2490000,1,A
2496000,1,A
2502000,1,A
2508000,1,A
2514000,1,A
2520000,1,A
2526000,1,A
2532000,1,A
2538000,1,A
2544000,1,A
2550000,1,A
2556000,1,A
2562000,1,A
2568000,1,A
2574000,1,A
2580000,1,A
2586000,1,A
2592000,1,A
2598000,1,A
2604000,1,A
2610000,1,A
2616000,1,A
2622000,1,A
