feature,lr_coef,lr_odds_ratio,rf_impurity,xgb_gain,rf_permutation
r_hf,-0.747384124925514,0.4736038221979848,0.0927002723590657,0.1545799,0.007288191364381946
rmssd,-0.15280830470955342,0.8582942370055474,0.017343225279133855,0.059040964,0.0005683859770755362
peak_hz,-0.023088550235014733,0.9771759507819827,0.019249837527047776,0.037592914,0.000717824838909542
edr_peak_hz,-0.32758903002197975,0.7206591281213433,0.01954391500415046,0.036798514,0.0024114303607473573
rr_iqr,-0.07618691322951017,0.926642988537926,0.01504033990593344,0.033426497,0.0007804319405196436
rmssd_ctx1,0.26133199601793394,1.2986587434031107,0.017519837692678227,0.029773226,0.0005794593036402062
r_lf,-0.5998099057307185,0.5489159719574737,0.049694155132703755,0.029515604,0.00665420363163507
edr_std,-0.6585808118615903,0.5175853645150817,0.053573596204925356,0.029323315,0.0074934357942371575
rr_cv_ctx2,0.36680021816211444,1.4431095832291925,0.026823177999729095,0.028893588,0.0009646628890811693
rr_cv_ctx5,0.38010773148085525,1.462442132004471,0.024167107891921096,0.028813425,0.0010490786091574388
rr_max,0.11191461518770643,1.118417360711571,0.010842374053004368,0.025461974,0.00046726030909556294
rr_cv_ctx1,0.7096407600168049,2.033260698892169,0.03117728382656309,0.024855023,0.001164346798649074
rr_std_z,0.14207690286342267,1.1526652883898771,0.03251706267412711,0.022578986,0.001995789991369734
lf_hf_ctx2,0.08677797198723251,1.0906544969830159,0.046977496161489336,0.018986056,0.001378605946031053
rr_mean_z,-1.214816814390634,0.2967643722774669,0.015239276325709414,0.018687436,0.0008381788773303978
rr_cv,1.0652256592729195,2.9014936591396063,0.022893448254910142,0.018648773,0.0008619268006267111
rr_std_ctx2,-0.8672472617356264,0.4201064019825803,0.022071619231972123,0.018100284,0.0006406473879935426
hr_mean_ctx5,-0.0040421196470327,0.9959660387225174,0.017377042814351762,0.017836966,0.0010491214170508466
rr_min,0.04515929049618454,1.0461944954769236,0.0131908398093851,0.01735844,0.0008348598239794613
hr_mean_ctx1,-0.7434362537117806,0.4754772446764773,0.015171063093971633,0.017049087,0.0008036150770961648
rr_std_ctx5,0.03392692887911615,1.0345090112332125,0.019587871545854542,0.016901104,0.0007751961299709454
rr_std_ctx1,-0.39818007765003094,0.6715410872321144,0.022949534383311137,0.016699806,0.0006216731647351592
edr_resp_ctx5,0.41938933394294653,1.5210324290783712,0.020406873476553088,0.016123721,0.0013595271090271587
rmssd_ctx5,-1.8525523926515695,0.1568363470674261,0.015433978018121044,0.015650628,0.0007890617051134585
lf_hf_ctx5,-0.1312752666843045,0.8769763387939866,0.04379742006468959,0.015061797,0.001798332504281519
n_beats,0.06980381583252981,1.072297792767692,0.011385450950746896,0.014835802,0.0006188434618307869
hr_mean_ctx2,-0.35589711734250135,0.7005446904272501,0.01673940972336599,0.014455718,0.0009846999354907072
rmssd_ctx2,1.1231973525025718,3.074669305358796,0.01541844842779667,0.013849564,0.0006530365548452321
p_hf,-0.5732545864169419,0.563687879158475,0.014314444059524698,0.013425005,0.0006399010259136251
edr_resp_ctx2,-0.3554124756524901,0.7008842858743559,0.015853055629386242,0.012627137,0.0009245207438174363
rr_cv_delta,-0.4987402259934466,0.6072952327654294,0.007020524903293679,0.012199583,0.00045381956296581817
rmssd_z,0.4214070742730087,1.5241045759088385,0.013971831947060673,0.0120481355,0.0012299391968492613
pnn50,0.16990059565013282,1.1851870327181635,0.010391519419121992,0.012006706,0.00048471780015133523
hr_mean_z,-1.5272979736103778,0.21712154357348953,0.013786414590067329,0.011755093,0.000743679529652197
p_lf,-0.26564304796824767,0.7667127583384314,0.011022451183798578,0.010475518,0.00042338559409489386
rr_std_delta,-0.5895725077933432,0.5545643059874278,0.00618864737841607,0.010202952,0.00039539466009363977
rr_std,0.7209900721721259,2.056468255049418,0.018748482471335468,0.010130854,0.0006261507057133908
hr_mean,-0.16459999423394583,0.8482329343010494,0.011651403738449716,0.010026091,0.0005505699397476693
rr_mean,-1.1091849576274377,0.32982767508449934,0.012076785819513514,0.009776018,0.0005446934299782713
edr_resp_ctx1,0.04856397847847321,1.049762531881451,0.012273720084133381,0.009195735,0.0006707871038811542
rr_skew,0.005204731627839438,1.0052182997728027,0.00719683247888668,0.00863877,0.0006323644649244731
edr_resp,0.13684144496119732,1.1466463275535057,0.011289325798905509,0.008577481,0.00059404466120625
lf_hf_ctx1,0.28272970976041023,1.3267465067176787,0.0330009737180903,0.008490667,0.0009298036320992464
hr_mean_delta,-0.1825468512134738,0.8331456091311357,0.007366145494147272,0.007963051,0.0004920164212284916
lf_hf,-0.03370634738505343,0.9668553825660844,0.034424382335479974,0.007465691,0.0010170876739892698
rr_kurt,-0.18720487671764474,0.8292738200817639,0.006614751912500613,0.0070077707,0.00040212021165664247
rr_range,0.08770870086655284,1.091670073160445,0.0067954132359452045,0.006963918,0.0003129695340367
edr_resp_delta,-0.001835734920064061,0.9981659490107099,0.005774986417436904,0.0069493074,0.0005886806080756645
rmssd_delta,-0.1552339428681829,0.8562148486942971,0.005826771878631112,0.0066804006,0.00043420379034218024
lf_hf_delta,-0.02845883698736283,0.9719423013959564,0.005579177672663399,0.00649506,0.00039030222333271693
edr_cvhr,0.0,1.0,0.0,0.0,0.0
p_vlf,0.0,1.0,0.0,0.0,0.0
p_cvhr,0.0,1.0,0.0,0.0,0.0
p_cvhr_log,0.0,1.0,0.0,0.0,0.0
r_cvhr,0.0,1.0,0.0,0.0,0.0
p_cvhr_log_ctx1,0.0,1.0,0.0,0.0,0.0
r_cvhr_delta,0.0,1.0,0.0,0.0,0.0
r_cvhr_ctx5,0.0,1.0,0.0,0.0,0.0
r_cvhr_ctx2,0.0,1.0,0.0,0.0,0.0
r_cvhr_ctx1,0.0,1.0,0.0,0.0,0.0
p_cvhr_log_ctx5,0.0,1.0,0.0,0.0,0.0
p_cvhr_log_delta,0.0,1.0,0.0,0.0,0.0
p_cvhr_log_ctx2,0.0,1.0,0.0,0.0,0.0
p_cvhr_log_z,0.0,1.0,0.0,0.0,0.0
