feature,univariate_auc,point_biserial_r,flag
r_hf,0.7930009055529998,-0.45969059409123136,
lf_hf_ctx2,0.7355266775680054,0.3227604689204535,
lf_hf_ctx1,0.7343979667989523,0.3141896172772295,
lf_hf_ctx5,0.7337872136947702,0.33292856542735444,
lf_hf,0.7323241362539685,0.300552593240851,
rr_cv_ctx1,0.7190630475397177,0.3196163961755159,
rr_cv_ctx2,0.7172345464820694,0.3223192958195839,
rr_std_z,0.7152482822064986,0.31610899816291405,
rr_std_ctx1,0.7092103269336687,0.30879439237863454,
rr_cv,0.7089255073879317,0.29208927179531796,
rr_cv_ctx5,0.7081282908959797,0.3198199330587172,
rr_std_ctx2,0.7067548247128606,0.31092968564240475,
rr_iqr,0.7048446660382287,0.26176301242483846,
rr_std,0.7011552203886472,0.28272419073873567,
r_lf,0.6990085419598598,-0.34207289960020587,
rr_std_ctx5,0.6964067297145144,0.30723167685452224,
rr_range,0.6618556826312622,0.24552639505739454,
p_lf,0.6569938997667157,0.17313628777449483,
edr_peak_hz,0.653696979100599,-0.19475495271569437,
rmssd_z,0.6428237231541527,0.18248955814436452,
rr_kurt,0.6216681393315087,-0.0655324217478971,
rr_max,0.6211240218514692,0.192796373334456,
peak_hz,0.6047277375057731,-0.25247256325735223,
hr_mean_z,0.5948685731808425,-0.1865371395092873,
rr_mean_z,0.594018705493532,0.1827263636761702,
edr_std,0.5704599401681716,-0.13307043833366655,
rmssd,0.5618209406126135,0.056430951033669366,
rmssd_ctx1,0.5612634959608526,0.054430103533239876,
rr_min,0.560458392486002,-0.08902612990885483,
rmssd_ctx2,0.5590861375019588,0.05137214366956323,
rr_cv_delta,0.5575116582811843,0.05894562245410707,
n_beats,0.5567619025423237,-0.10941646737462793,
rr_std_delta,0.5556308646321935,0.057984676069106796,
rmssd_ctx5,0.5527497118085581,0.042674937782357064,
rr_skew,0.5504509307317516,-0.006980964744200575,
hr_mean_ctx1,0.549641657797147,-0.10089421939494789,
hr_mean_ctx2,0.5493534191946745,-0.09927935258449581,
rr_mean,0.5491272814001296,0.07411063900567412,
hr_mean,0.5491272814001295,-0.10042984570331707,
hr_mean_ctx5,0.5472338110407248,-0.0927945502691894,
pnn50,0.5394053311224432,-0.03147501824143807,
rmssd_delta,0.529011732103715,0.03273403180230611,
edr_resp_ctx2,0.5269743970287807,-0.043123862466636353,
edr_resp_ctx1,0.5266359032725751,-0.04358794060878358,
edr_resp,0.5263815354295343,-0.0430073946320887,
edr_resp_ctx5,0.5252621608082855,-0.03783080471754321,
lf_hf_delta,0.5212242160115925,0.04036442679447396,
edr_resp_delta,0.5123235510017793,-0.0227378122580974,
hr_mean_delta,0.5112765846290134,-0.040942146696122395,
p_hf,0.5025420133945626,-0.09909394958941799,
edr_cvhr,0.5,,
p_vlf,0.5,,
p_cvhr,0.5,,
p_cvhr_log,0.5,,
r_cvhr,0.5,,
p_cvhr_log_ctx1,0.5,,
r_cvhr_delta,0.5,,
r_cvhr_ctx5,0.5,,
r_cvhr_ctx2,0.5,,
r_cvhr_ctx1,0.5,,
p_cvhr_log_ctx5,0.5,,
p_cvhr_log_delta,0.5,,
p_cvhr_log_ctx2,0.5,,
p_cvhr_log_z,0.5,,
