record,class_prefix,n,apnea_rate,recall,accuracy,roc_auc
a01,a,489,0.9611451942740287,0.8170212765957446,0.8159509202453987,0.8959686450167973
a02,a,528,0.7954545454545454,0.8214285714285714,0.8200757575757576,0.8697089947089948
a03,a,519,0.47398843930635837,1.0,0.8227360308285164,0.9625361088775723
a04,a,492,0.9207317073170732,0.9492273730684326,0.9491869918699187,0.985509707364012
a05,a,454,0.6079295154185022,0.7681159420289855,0.8303964757709251,0.9252361178961082
a06,a,510,0.403921568627451,0.3883495145631068,0.6666666666666666,0.6571601941747574
a07,a,511,0.6301369863013698,0.8322981366459627,0.7514677103718199,0.8194649840612573
a08,a,501,0.3772455089820359,0.8359788359788359,0.8343313373253493,0.8915343915343915
a09,a,495,0.7696969696969697,0.2335958005249344,0.40606060606060607,0.8556430446194226
a10,a,517,0.19342359767891681,0.77,0.8355899419729207,0.9010071942446043
a11,a,466,0.47639484978540775,0.31981981981981983,0.6738197424892703,0.7911312952296558
a12,a,577,0.925476603119584,0.9850187265917603,0.9480069324090121,0.8018029788345964
a13,a,495,0.49292929292929294,0.8688524590163934,0.8888888888888888,0.9524035007510939
a14,a,509,0.7524557956777996,0.6631853785900783,0.7053045186640472,0.8057731360603422
a15,a,510,0.7215686274509804,0.8152173913043478,0.8117647058823529,0.8883764543784446
a16,a,482,0.6639004149377593,0.815625,0.8236514522821576,0.927662037037037
a17,a,485,0.32577319587628867,0.5443037974683544,0.7608247422680412,0.8050361940154065
a18,a,489,0.8957055214723927,0.06621004566210045,0.15950920245398773,0.43352135374697826
a19,a,502,0.40836653386454186,0.375609756097561,0.7430278884462151,0.9885521885521886
a20,a,510,0.6176470588235294,0.4253968253968254,0.6333333333333333,0.9337728937728937
b01,b,487,0.039014373716632446,1.0,0.6201232032854209,0.8421052631578947
b02,b,517,0.17988394584139264,0.9247311827956989,0.7640232108317214,0.9437259078920673
b03,b,441,0.1655328798185941,0.9178082191780822,0.9047619047619048,0.973198332340679
b04,b,429,0.023310023310023312,0.5,0.7762237762237763,0.7159904534606205
b05,b,433,0.13163972286374134,0.40350877192982454,0.8983833718244804,0.8746733855916387
c01,c,484,0.0,,0.9483471074380165,
c03,c,454,0.0,,0.8281938325991189,
