record,reason,n_beats_dropped,pct
a01,implausible_RR_or_ectopic,85,0.28
a02,implausible_RR_or_ectopic,4609,13.08
a03,implausible_RR_or_ectopic,456,1.33
a04,implausible_RR_or_ectopic,148,0.47
a05,implausible_RR_or_ectopic,38,0.13
a06,implausible_RR_or_ectopic,2636,9.66
a07,implausible_RR_or_ectopic,233,0.62
a08,implausible_RR_or_ectopic,50,0.12
a09,implausible_RR_or_ectopic,128,0.41
a10,implausible_RR_or_ectopic,34,0.11
a11,implausible_RR_or_ectopic,83,0.25
a12,implausible_RR_or_ectopic,1485,4.38
a13,implausible_RR_or_ectopic,126,0.32
a14,implausible_RR_or_ectopic,125,0.43
a15,implausible_RR_or_ectopic,86,0.25
a16,implausible_RR_or_ectopic,94,0.27
a17,implausible_RR_or_ectopic,489,1.34
a18,implausible_RR_or_ectopic,102,0.34
a19,implausible_RR_or_ectopic,7,0.02
a20,implausible_RR_or_ectopic,161,0.47
b01,implausible_RR_or_ectopic,66,0.19
b02,implausible_RR_or_ectopic,912,2.58
b03,implausible_RR_or_ectopic,205,0.7
b04,implausible_RR_or_ectopic,717,2.86
b05,implausible_RR_or_ectopic,3758,12.81
c01,implausible_RR_or_ectopic,220,0.79
c03,implausible_RR_or_ectopic,800,3.37
