Model,FPR,TPR_Sensitivity,Threshold,ROC_AUC
Logistic Regression,0.0,0.0,inf,1.0
Logistic Regression,0.0,0.0005099439061703213,0.9999743593082852,1.0
Logistic Regression,0.0,1.0,0.9944671828664915,1.0
Logistic Regression,1.0,1.0,6.985681190067938e-05,1.0
Random Forest,0.0,0.0,inf,1.0
Random Forest,0.0,0.021417644059153494,1.0,1.0
Random Forest,0.0,0.0382457929627741,0.998,1.0
Random Forest,0.0,0.0504844467108618,0.996,1.0
Random Forest,0.0,0.06170321264660887,0.994,1.0
Random Forest,0.0,0.07139214686384497,0.992,1.0
Random Forest,0.0,0.07955124936257012,0.99,1.0
Random Forest,0.0,0.09229984701682815,0.988,1.0
Random Forest,0.0,0.10045894951555329,0.986,1.0
Random Forest,0.0,0.11167771545130036,0.984,1.0
Random Forest,0.0,0.12544620091789904,0.982,1.0
Random Forest,0.0,0.1366649668536461,0.98,1.0
Random Forest,0.0,0.15196328403875572,0.978,1.0
Random Forest,0.0,0.16981132075471697,0.976,1.0
Random Forest,0.0,0.17899031106578275,0.974,1.0
Random Forest,0.0,0.19734829168791432,0.972,1.0
Random Forest,0.0,0.20805711371749108,0.97,1.0
Random Forest,0.0,0.21162672106068334,0.968,1.0
Random Forest,0.0,0.21774604793472718,0.966,1.0
Random Forest,0.0,0.2330443651198368,0.962,1.0
Random Forest,0.0,0.24171341152473227,0.96,1.0
Random Forest,0.0,0.25599184089750127,0.958,1.0
Random Forest,0.0,0.2610912799592045,0.956,1.0
Random Forest,0.0,0.2728199898011219,0.954,1.0
Random Forest,0.0,0.28403875573686893,0.952,1.0
Random Forest,0.0,0.2962774094849567,0.95,1.0
Random Forest,0.0,0.30494645588985214,0.948,1.0
Random Forest,0.0,0.3115757266700663,0.946,1.0
Random Forest,0.0,0.3227944926058134,0.944,1.0
Random Forest,0.0,0.3314635390107088,0.942,1.0
Random Forest,0.0,0.338092809790923,0.94,1.0
Random Forest,0.0,0.3457419683834778,0.938,1.0
Random Forest,0.0,0.352371239163692,0.936,1.0
Random Forest,0.0,0.3646098929117797,0.932,1.0
Random Forest,0.0,0.37021927587965325,0.93,1.0
Random Forest,0.0,0.3778684344722081,0.928,1.0
Random Forest,0.0,0.39214686384497704,0.924,1.0
Random Forest,0.0,0.3982661907190209,0.922,1.0
Random Forest,0.0,0.4074451810300867,0.92,1.0
Random Forest,0.0,0.4130545639979602,0.918,1.0
Random Forest,0.0,0.4201937786843447,0.916,1.0
Random Forest,0.0,0.4268230494645589,0.914,1.0
Random Forest,0.0,0.43243243243243246,0.912,1.0
Random Forest,0.0,0.4395716471188169,0.91,1.0
Random Forest,0.0,0.4487506374298827,0.908,1.0
Random Forest,0.0,0.4533401325854156,0.906,1.0
Random Forest,0.0,0.4594594594594595,0.904,1.0
Random Forest,0.0,0.46404895461499235,0.902,1.0
Random Forest,0.0,0.4696583375828659,0.9,1.0
Random Forest,0.0,0.47628760836308004,0.898,1.0
Random Forest,0.0,0.48750637429882715,0.896,1.0
Random Forest,0.0,0.49311575726670065,0.894,1.0
Random Forest,0.0,0.4982151963284039,0.892,1.0
Random Forest,0.0,0.5048444671086181,0.89,1.0
Random Forest,0.0,0.5145334013258541,0.888,1.0
Random Forest,0.0,0.52371239163692,0.884,1.0
Random Forest,0.0,0.5298317185109638,0.882,1.0
Random Forest,0.0,0.5385007649158593,0.88,1.0
Random Forest,0.0,0.5441101478837328,0.878,1.0
Random Forest,0.0,0.5512493625701173,0.876,1.0
Random Forest,0.0,0.5558388577256502,0.874,1.0
Random Forest,0.0,0.5629780724120347,0.872,1.0
Random Forest,0.0,0.5685874553799082,0.87,1.0
Random Forest,0.0,0.5731769505354412,0.868,1.0
Random Forest,0.0,0.5782763895971443,0.866,1.0
Random Forest,0.0,0.5849056603773585,0.864,1.0
Random Forest,0.0,0.588985211626721,0.862,1.0
Random Forest,0.0,0.592044875063743,0.86,1.0
Random Forest,0.0,0.5966343702192759,0.858,1.0
Random Forest,0.0,0.6022437531871494,0.856,1.0
Random Forest,0.0,0.6058133605303416,0.854,1.0
Random Forest,0.0,0.6114227434982152,0.852,1.0
Random Forest,0.0,0.6160122386537481,0.85,1.0
Random Forest,0.0,0.61907190209077,0.848,1.0
Random Forest,0.0,0.6302906680265171,0.844,1.0
Random Forest,0.0,0.6353901070882203,0.842,1.0
Random Forest,0.0,0.6409994900560938,0.84,1.0
Random Forest,0.0,0.6450790413054563,0.838,1.0
Random Forest,0.0,0.6522182559918409,0.834,1.0
Random Forest,0.0,0.660377358490566,0.83,1.0
Random Forest,0.0,0.6664966853646099,0.826,1.0
Random Forest,0.0,0.6700662927078022,0.824,1.0
Random Forest,0.0,0.6731259561448241,0.822,1.0
Random Forest,0.0,0.6741458439571647,0.82,1.0
Random Forest,0.0,0.6782253952065272,0.818,1.0
Random Forest,0.0,0.6817950025497195,0.816,1.0
Random Forest,0.0,0.6879143294237634,0.814,1.0
Random Forest,0.0,0.6914839367669556,0.812,1.0
Random Forest,0.0,0.6930137684854666,0.81,1.0
Random Forest,0.0,0.6955634880163182,0.808,1.0
Random Forest,0.0,0.6970933197348291,0.806,1.0
Random Forest,0.0,0.6996430392656807,0.804,1.0
Random Forest,0.0,0.7027027027027027,0.802,1.0
Random Forest,0.0,0.7108618052014278,0.798,1.0
Random Forest,0.0,0.7164711881693013,0.796,1.0
Random Forest,0.0,0.720550739418664,0.794,1.0
Random Forest,0.0,0.7271800101988781,0.792,1.0
Random Forest,0.0,0.7302396736359,0.79,1.0
Random Forest,0.0,0.7348291687914329,0.788,1.0
Random Forest,0.0,0.7419683834778175,0.786,1.0
Random Forest,0.0,0.74604793472718,0.784,1.0
Random Forest,0.0,0.7506374298827129,0.782,1.0
Random Forest,0.0,0.7587965323814381,0.78,1.0
Random Forest,0.0,0.7638959714431413,0.778,1.0
Random Forest,0.0,0.7720550739418663,0.776,1.0
