Threshold,Accuracy,Balanced_Accuracy,Precision,Sensitivity_Recall,Specificity,FPR,F1,TN,FP,FN,TP
0.05,0.6192010309278351,0.503559122932173,0.6335275968460747,0.9423763386027537,0.0647419072615923,0.9352580927384077,0.7576875768757687,74,1069,113,1848
0.06,0.6185567010309279,0.5052388594210018,0.6343825665859564,0.9352371239163692,0.0752405949256343,0.9247594050743657,0.7559769167353668,86,1057,127,1834
0.07,0.6201675257731959,0.5087033995814266,0.6361420612813371,0.9316675165731769,0.0857392825896763,0.9142607174103237,0.7560521415270018,98,1045,134,1827
0.08,0.6208118556701031,0.5123153907138456,0.6380281690140845,0.9240183579806222,0.10061242344706911,0.8993875765529309,0.7548427410956051,115,1028,149,1812
0.09,0.6243556701030928,0.5189520228890308,0.6415094339622641,0.918918918918919,0.1189851268591426,0.8810148731408574,0.7555555555555555,136,1007,159,1802
0.09999999999999999,0.6230670103092784,0.5201218154716892,0.6422150305645451,0.9107598164201938,0.1294838145231846,0.8705161854768154,0.7532686630113876,148,995,175,1786
0.10999999999999999,0.6253221649484536,0.5253736131020339,0.645090909090909,0.90464048954615,0.14610673665791776,0.8538932633420823,0.7531309700700488,167,976,187,1774
0.12,0.6246778350515464,0.5272358229571125,0.6462160176340925,0.8969913309535951,0.15748031496062992,0.84251968503937,0.7512278453982489,180,963,202,1759
0.13,0.6240335051546392,0.5290980328121911,0.6473645137342242,0.8893421723610403,0.16885389326334208,0.8311461067366579,0.7493018259935553,193,950,217,1744
0.13999999999999999,0.6275773195876289,0.5359171383536263,0.6512589252160842,0.8837327893931668,0.18810148731408574,0.8118985126859143,0.7498918217221981,215,928,228,1733
0.14999999999999997,0.6272551546391752,0.5376693734292902,0.6523881728582259,0.8776134625191229,0.19772528433945757,0.8022747156605424,0.7484235703413785,226,917,240,1721
0.15999999999999998,0.6256443298969072,0.537489353861364,0.652422739412438,0.8720040795512494,0.20297462817147857,0.7970253718285214,0.746398952422523,232,911,251,1710
0.16999999999999998,0.6246778350515464,0.5381842249321078,0.6529592621060722,0.8663946965833759,0.2099737532808399,0.7900262467191601,0.7446855139162831,240,903,262,1699
0.18,0.6240335051546392,0.5396814880546866,0.6539953452288596,0.8597654258031616,0.21959755030621173,0.7804024496937882,0.7428949107732981,251,892,275,1686
0.19,0.6221005154639175,0.5403413367311748,0.6546310832025117,0.8505864354920959,0.23009623797025372,0.7699037620297463,0.739853626081171,263,880,293,1668
0.19999999999999996,0.6195231958762887,0.5399438214027428,0.654639175257732,0.8419173890872004,0.2379702537182852,0.7620297462817148,0.736560339058666,272,871,310,1651
0.20999999999999996,0.6182345360824743,0.5414785607179011,0.6558232931726907,0.8327383987761346,0.25021872265966755,0.7497812773403325,0.7337676926533363,286,857,328,1633
0.21999999999999997,0.6192010309278351,0.5442506836059058,0.6576284904896803,0.8286588475267721,0.25984251968503935,0.7401574803149606,0.7333032490974729,297,846,336,1625
0.22999999999999998,0.6179123711340206,0.5448730560898144,0.6582278481012658,0.8220295767465579,0.2677165354330709,0.7322834645669292,0.7310657596371882,306,837,349,1612
0.24,0.6172680412371134,0.5461878458461433,0.6592501030078286,0.815910249872514,0.2764654418197725,0.7235345581802275,0.7292616226071102,316,827,361,1600
0.24999999999999994,0.615979381443299,0.5471751650625518,0.6601416076634735,0.8082610912799592,0.28608923884514437,0.7139107611548556,0.7267308574048602,327,816,376,1585
0.25999999999999995,0.6150128865979382,0.5485999295982954,0.6613310867733783,0.8006119326874044,0.29658792650918636,0.7034120734908137,0.7243367935409458,339,804,391,1570
0.26999999999999996,0.6156572164948454,0.5522119207307143,0.6639624252775406,0.7929627740948496,0.3114610673665792,0.6885389326334208,0.7227515686730188,356,787,406,1555
0.27999999999999997,0.6163015463917526,0.5556414384968834,0.6665224913494809,0.785823559408465,0.32545931758530183,0.6745406824146981,0.7212731102270068,372,771,420,1541
0.29,0.6156572164948454,0.5576861217182121,0.6682734443470639,0.77766445690974,0.33770778652668415,0.6622922134733158,0.7188310157907141,386,757,436,1525
0.3,0.6137242268041238,0.5581634970284503,0.6690328305235137,0.7689954105048444,0.347331583552056,0.652668416447944,0.7155397390272835,397,746,453,1508
0.30999999999999994,0.6088917525773195,0.5559811780284222,0.6681674921206664,0.7567567567567568,0.3552055993000875,0.6447944006999126,0.7097082735533238,406,737,477,1484
0.31999999999999995,0.6098582474226805,0.5596656677476763,0.6710766423357665,0.7501274859765426,0.36920384951881013,0.6307961504811899,0.7084035636888996,422,721,490,1471
0.32999999999999996,0.6092139175257731,0.561527877602755,0.6728280961182994,0.7424783273839878,0.3805774278215223,0.6194225721784777,0.705939393939394,435,708,505,1456
0.33999999999999997,0.6076030927835051,0.5624426982323283,0.6740046838407494,0.7338092809790923,0.3910761154855643,0.6089238845144357,0.70263671875,447,696,522,1439
0.3499999999999999,0.6066365979381443,0.5638674627680719,0.6755218216318786,0.7261601223865375,0.4015748031496063,0.5984251968503937,0.6999262718112559,459,684,537,1424
0.35999999999999993,0.6082474226804123,0.5682443697597463,0.6791726791726792,0.7200407955124937,0.41644794400699914,0.5835520559930009,0.699009900990099,476,667,549,1412
0.36999999999999994,0.6079252577319587,0.5698141314691605,0.6807580174927114,0.7144314125446201,0.4251968503937008,0.5748031496062992,0.6971883553122667,486,657,560,1401
0.37999999999999995,0.6059922680412371,0.5708389268781484,0.6823122529644269,0.7042325344212137,0.4374453193350831,0.5625546806649169,0.693099121706399,500,643,580,1381
0.38999999999999996,0.6069587628865979,0.5736110497661531,0.6847880299251871,0.7001529831718512,0.44706911636045493,0.552930883639545,0.6923852748361069,511,632,588,1373
0.3999999999999999,0.604381443298969,0.5728485877052212,0.6848209783156833,0.6925038245792963,0.4531933508311461,0.5468066491688539,0.6886409736308317,518,625,603,1358
0.4099999999999999,0.604381443298969,0.5752207414664702,0.6872764435360246,0.6858745537990821,0.4645669291338583,0.5354330708661418,0.6865747830525778,531,612,616,1345
0.41999999999999993,0.6053479381443299,0.5785402844532246,0.6904761904761905,0.6802651708312085,0.4768153980752406,0.5231846019247594,0.6853326483431801,545,598,627,1334
