Dataset,Model,Accuracy,ROC-AUC,Sensitivity,F1,Balanced Accuracy,Specificity,Precision,FPR
Apnea ECG,LogisticRegression_L2,0.6117912371134021,0.6482560409168638,0.6374298827129016,0.6747638326585695,,,,
Apnea ECG,LogisticRegression_L1,0.6137242268041238,0.6517725569872354,0.6415094339622641,0.6772543741588156,,,,
Apnea ECG,RandomForest,0.6398195876288659,0.7153330718922756,0.5655277919428863,0.6648681055155875,,,,
Apnea ECG,XGBoost,0.6301546391752577,0.6746821104271706,0.5395206527281999,0.6482843137254902,,,,
Apnea HRV,LogisticRegression_L2,0.752236925015753,0.8577560292020125,0.8097262822216317,0.6078196688609615,0.7720474146715658,,,
Apnea HRV,LogisticRegression_L1,0.7519848771266541,0.8581189241355993,0.8091947913898485,0.6074207061639737,0.7716990724108737,,,
Apnea HRV,RandomForest,0.8267170762444864,0.8337891707524813,0.4238639383470635,0.5370370370370371,0.6878962873365779,,,
Apnea HRV,XGBoost,0.8206679269061121,0.842055110906403,0.5524847196385863,0.5936607652769845,0.728253592990186,,,
UCDDB v2,LogisticRegression_L2,0.8330367021020733,0.8975150398605921,0.8028105167724388,0.6711511132164851,0.8219951100073954,0.841179703242352,0.576591242064138,
UCDDB v2,LogisticRegression_L1,0.8338544422531147,0.8978515686954778,0.8025838621940163,0.672171602126044,0.8224313339180377,0.842278805642059,0.5782168517308949,
UCDDB v2,RandomForest,0.8737313002068402,0.91786095236387,0.5752493200362647,0.6591351772497078,0.7646961627353577,0.9541430054344509,0.7716631194892064,
UCDDB v2,XGBoost,0.8780124104093511,0.927787342009566,0.7620126926563917,0.7261339092872571,0.8356378417180719,0.909262990779752,0.6934818481848185,
UCDDB v2,_baseline_majority,0.7877723796238395,0.5,0.0,0.0,0.5,1.0,0.0,
Action 3 ECG,Baseline Logistic Regression,0.6076030927835051,0.654807236295871,0.6012238653748088,0.6593959731543624,0.6098857734573082,0.6185476815398075,0.730030959752322,
Action 3 ECG,Baseline Logistic Regression,0.5786082474226805,0.654807236295871,0.4252932177460479,0.5604838709677419,0.633469006073374,0.8416447944007,0.8216748768472907,
Action 3 ECG,Weighted Logistic Regression,0.6114690721649485,0.6482810250452503,0.6364099949005609,0.6742301458670988,0.6025444550180845,0.5686789151356081,0.7168294083859851,
Action 3 ECG,Weighted Logistic Regression,0.5763530927835051,0.6482810250452503,0.4217236104028556,0.5570899292691142,0.6316842024017778,0.8416447944007,0.8204365079365079,
Action 3 ECG,Baseline Random Forest,0.6452963917525774,0.718641461250286,0.5573686894441612,0.6650441131731062,0.6767595853170063,0.7961504811898513,0.8242835595776772,
Action 3 ECG,Baseline Random Forest,0.6414304123711341,0.718641461250286,0.5303416624171341,0.6514249921703726,0.681181329896231,0.8320209973753281,0.8441558441558441,
Action 3 ECG,Weighted Random Forest,0.6417525773195877,0.7137604102393881,0.5594084650688425,0.6636418632788869,0.6712177933393206,0.7830271216097988,0.8156133828996283,
Action 3 ECG,Weighted Random Forest,0.6298324742268041,0.7137604102393881,0.4834268230494645,0.6226600985221675,0.6822208480951609,0.8810148731408574,0.8745387453874539,
Action 3 ECG,Gradient Boosting,0.6304768041237113,0.6778524178613319,0.534931157572667,0.6465331278890601,0.6646659287425889,0.7944006999125109,0.8169781931464174,
Action 3 ECG,Gradient Boosting,0.6262886597938144,0.6778524178613319,0.4620091789903111,0.6096904441453567,0.6850728309649718,0.9081364829396326,0.8961424332344213,
Action 3 ECG,GMM Generative Augmentation,0.564110824742268,0.6319516664190561,0.4145843957164712,0.5458207452165156,0.6176159073945435,0.820647419072616,0.7986247544204322,
Action 5 ECG,NN Deep ReLU,0.6591494845360825,0.6878893452953772,0.5762366139724631,0.6811332127787824,0.6888182194971677,0.8013998250218722,0.8327192336035372,0.1986001749781277
Action 5 ECG,NN Shallow ReLU,0.6672036082474226,0.7308111855727366,0.6216216216216216,0.7023912417170844,0.6835142228843016,0.7454068241469817,0.8072847682119205,0.2545931758530184
Action 5 ECG,Random Forest,0.6427190721649485,0.7144766962773201,0.5604283528811831,0.6646507408527366,0.672165182564826,0.7839020122484689,0.8164933135215453,0.216097987751531
Action 5 ECG,NN Very Deep ReLU,0.6604381443298969,0.7023444481474492,0.6338602753697093,0.7022598870056497,0.6699485103882667,0.7060367454068242,0.7872070930968967,0.2939632545931758
Action 5 ECG,Gradient Boosting,0.6304768041237113,0.6778524178613319,0.534931157572667,0.6465331278890601,0.6646659287425889,0.7944006999125109,0.8169781931464174,0.205599300087489
Action 5 ECG,NN Deep Tanh,0.6349871134020618,0.6649913916293355,0.6302906680265171,0.6857142857142857,0.6366676437245447,0.6430446194225722,0.7518248175182481,0.3569553805774278
