Batch_ID,Sleep_Label,Start_Window,End_Window,Row_Count
1,0,0,4,5
2,1,5,6,2
3,0,7,7,1
4,1,8,10,3
5,0,11,12,2
6,1,13,30,18
7,0,31,31,1
8,1,32,77,46
9,0,78,80,3
10,1,81,95,15
11,0,96,96,1
12,1,97,142,46
13,0,143,144,2
14,1,145,233,89
15,0,234,234,1
16,1,235,242,8
17,0,243,243,1
18,1,244,247,4
19,0,248,248,1
20,1,249,249,1
21,0,250,250,1
22,1,251,253,3
23,0,254,256,3
24,1,257,260,4
25,0,261,261,1
26,1,262,263,2
27,0,264,264,1
28,1,265,265,1
29,0,266,266,1
30,1,267,316,50
31,0,317,318,2
32,1,319,331,13
33,0,332,332,1
34,1,333,361,29
35,0,362,362,1
36,1,363,383,21
37,0,384,384,1
38,1,385,441,57
39,0,442,442,1
40,1,443,458,16
41,0,459,459,1
42,1,460,468,9
43,0,469,469,1
44,1,470,606,137
45,0,607,607,1
46,1,608,622,15
47,0,623,623,1
48,1,624,632,9
49,0,633,633,1
50,1,634,696,63
51,0,697,697,1
52,1,698,710,13
53,0,711,711,1
54,1,712,729,18
55,0,730,730,1
56,1,731,744,14
57,0,745,745,1
58,1,746,749,4
59,0,750,750,1
60,1,751,773,23
61,0,774,774,1
62,1,775,845,71
63,0,846,846,1
64,1,847,855,9
65,0,856,856,1
66,1,857,872,16
67,0,873,873,1
68,1,874,892,19
69,0,893,893,1
70,1,894,896,3
71,0,897,897,1
72,1,898,907,10
73,0,908,910,3
74,0,912,913,2
